value,ij,t
0.0,n21 => n24,73
0.0,n21 => n24,74
0.0,n21 => n24,75
0.0,n21 => n24,76
0.0,n21 => n24,77
0.0,n21 => n24,78
0.0,n21 => n24,79
0.0,n21 => n24,80
0.0,n21 => n24,81
0.0,n21 => n24,82
0.0,n21 => n24,83
0.0,n21 => n24,84
0.0,n21 => n24,85
0.0,n21 => n24,86
0.0,n21 => n24,87
0.0,n21 => n24,88
0.0,n21 => n24,89
0.0,n21 => n24,90
0.0,n21 => n24,91
0.0,n21 => n24,92
0.0,n21 => n24,93
0.0,n21 => n24,94
0.0,n21 => n24,95
0.0,n21 => n24,96
0.0,n11 => n12,0
0.0,n11 => n12,1
0.0,n11 => n12,2
0.0,n11 => n12,3
0.0,n11 => n12,4
0.0,n11 => n12,5
0.0,n11 => n12,6
0.0,n11 => n12,7
0.0,n11 => n12,8
0.0,n11 => n12,9
0.0,n11 => n12,10
0.0,n11 => n12,11
0.0,n11 => n12,12
0.0,n11 => n12,13
0.0,n11 => n12,14
0.0,n11 => n12,15
0.0,n11 => n12,16
0.0,n11 => n12,17
0.0,n11 => n12,18
0.0,n11 => n12,19
0.0,n11 => n12,20
0.0,n11 => n12,21
0.0,n11 => n12,22
0.0,n11 => n12,23
0.0,n11 => n12,24
0.0,n11 => n12,25
0.0,n11 => n12,26
0.0,n11 => n12,27
0.0,n11 => n12,28
0.0,n11 => n12,29
0.0,n11 => n12,30
0.0,n11 => n12,31
0.0,n11 => n12,32
0.0,n11 => n12,33
0.0,n11 => n12,34
0.0,n11 => n12,35
0.0,n11 => n12,36
0.0,n11 => n12,37
0.0,n11 => n12,38
0.0,n11 => n12,39
0.0,n11 => n12,40
0.0,n11 => n12,41
0.0,n11 => n12,42
0.0,n11 => n12,43
0.0,n11 => n12,44
0.0,n11 => n12,45
0.0,n11 => n12,46
0.0,n11 => n12,47
0.0,n11 => n12,48
0.0,n11 => n12,49
1.0,n11 => n12,50
0.0,n11 => n12,51
0.0,n11 => n12,52
0.0,n11 => n12,53
0.0,n11 => n12,54
0.0,n11 => n12,55
0.0,n11 => n12,56
0.0,n11 => n12,57
0.0,n11 => n12,58
0.0,n11 => n12,59
0.0,n11 => n12,60
0.0,n11 => n12,61
0.0,n11 => n12,62
0.0,n11 => n12,63
0.0,n11 => n12,64
0.0,n11 => n12,65
0.0,n11 => n12,66
0.0,n11 => n12,67
0.0,n11 => n12,68
0.0,n11 => n12,69
0.0,n11 => n12,70
0.0,n11 => n12,71
0.0,n11 => n12,72
0.0,n11 => n12,73
0.0,n11 => n12,74
0.0,n11 => n12,75
0.0,n11 => n12,76
0.0,n11 => n12,77
0.0,n11 => n12,78
0.0,n11 => n12,79
0.0,n11 => n12,80
0.0,n11 => n12,81
0.0,n11 => n12,82
0.0,n11 => n12,83
0.0,n11 => n12,84
0.0,n11 => n12,85
0.0,n11 => n12,86
0.0,n11 => n12,87
0.0,n11 => n12,88
0.0,n11 => n12,89
0.0,n11 => n12,90
0.0,n11 => n12,91
0.0,n11 => n12,92
0.0,n11 => n12,93
0.0,n11 => n12,94
0.0,n11 => n12,95
0.0,n11 => n12,96
0.0,n15 => n21,0
0.0,n15 => n21,1
0.0,n15 => n21,2
0.0,n15 => n21,3
0.0,n15 => n21,4
0.0,n15 => n21,5
0.0,n15 => n21,6
0.0,n15 => n21,7
0.0,n15 => n21,8
0.0,n15 => n21,9
0.0,n15 => n21,10
0.0,n15 => n21,11
0.0,n15 => n21,12
0.0,n15 => n21,13
0.0,n15 => n21,14
0.0,n15 => n21,15
0.0,n15 => n21,16
0.0,n15 => n21,17
0.0,n15 => n21,18
0.0,n15 => n21,19
0.0,n15 => n21,20
0.0,n15 => n21,21
0.0,n15 => n21,22
0.0,n15 => n21,23
0.0,n15 => n21,24
0.0,n15 => n21,25
0.0,n15 => n21,26
0.0,n15 => n21,27
0.0,n15 => n21,28
0.0,n15 => n21,29
0.0,n15 => n21,30
0.0,n15 => n21,31
0.0,n15 => n21,32
0.0,n15 => n21,33
0.0,n15 => n21,34
0.0,n15 => n21,35
0.0,n15 => n21,36
0.0,n15 => n21,37
0.0,n15 => n21,38
0.0,n15 => n21,39
0.0,n15 => n21,40
0.0,n15 => n21,41
0.0,n15 => n21,42
0.0,n15 => n21,43
0.0,n15 => n21,44
0.0,n15 => n21,45
0.0,n15 => n21,46
0.0,n15 => n21,47
0.0,n15 => n21,48
0.0,n15 => n21,49
0.0,n15 => n21,50
0.0,n15 => n21,51
0.0,n15 => n21,52
0.0,n15 => n21,53
0.0,n15 => n21,54
0.0,n15 => n21,55
0.0,n15 => n21,56
0.0,n15 => n21,57
0.0,n15 => n21,58
0.0,n15 => n21,59
0.0,n15 => n21,60
0.0,n15 => n21,61
0.0,n15 => n21,62
0.0,n15 => n21,63
0.0,n15 => n21,64
0.0,n15 => n21,65
0.0,n15 => n21,66
0.0,n15 => n21,67
0.0,n15 => n21,68
0.0,n15 => n21,69
0.0,n15 => n21,70
0.0,n15 => n21,71
0.0,n15 => n21,72
0.0,n15 => n21,73
0.0,n15 => n21,74
0.0,n15 => n21,75
0.0,n15 => n21,76
0.0,n15 => n21,77
0.0,n15 => n21,78
0.0,n15 => n21,79
0.0,n15 => n21,80
0.0,n15 => n21,81
0.0,n15 => n21,82
0.0,n15 => n21,83
0.0,n15 => n21,84
0.0,n15 => n21,85
0.0,n15 => n21,86
0.0,n15 => n21,87
0.0,n15 => n21,88
0.0,n15 => n21,89
0.0,n15 => n21,90
0.0,n15 => n21,91
0.0,n15 => n21,92
0.0,n15 => n21,93
0.0,n15 => n21,94
0.0,n15 => n21,95
0.0,n15 => n21,96
0.0,n20 => n26,0
0.0,n20 => n26,1
0.0,n20 => n26,2
0.0,n20 => n26,3
0.0,n20 => n26,4
0.0,n20 => n26,5
0.0,n20 => n26,6
0.0,n20 => n26,7
0.0,n20 => n26,8
0.0,n20 => n26,9
0.0,n20 => n26,10
0.0,n20 => n26,11
0.0,n20 => n26,12
0.0,n20 => n26,13
0.0,n20 => n26,14
0.0,n20 => n26,15
0.0,n20 => n26,16
0.0,n20 => n26,17
0.0,n20 => n26,18
0.0,n20 => n26,19
0.0,n20 => n26,20
0.0,n20 => n26,21
0.0,n20 => n26,22
0.0,n20 => n26,23
0.0,n20 => n26,24
0.0,n20 => n26,25
0.0,n20 => n26,26
0.0,n20 => n26,27
0.0,n20 => n26,28
0.0,n20 => n26,29
0.0,n20 => n26,30
0.0,n20 => n26,31
0.0,n20 => n26,32
0.0,n20 => n26,33
0.0,n20 => n26,34
0.0,n20 => n26,35
0.0,n20 => n26,36
0.0,n20 => n26,37
0.0,n20 => n26,38
0.0,n20 => n26,39
0.0,n20 => n26,40
0.0,n20 => n26,41
0.0,n20 => n26,42
0.0,n20 => n26,43
0.0,n20 => n26,44
0.0,n20 => n26,45
0.0,n20 => n26,46
0.0,n20 => n26,47
0.0,n20 => n26,48
0.0,n20 => n26,49
0.0,n20 => n26,50
0.0,n20 => n26,51
0.0,n20 => n26,52
0.0,n20 => n26,53
0.0,n20 => n26,54
0.0,n20 => n26,55
0.0,n20 => n26,56
0.0,n20 => n26,57
0.0,n20 => n26,58
0.0,n20 => n26,59
0.0,n20 => n26,60
0.0,n20 => n26,61
0.0,n20 => n26,62
0.0,n20 => n26,63
0.0,n20 => n26,64
0.0,n20 => n26,65
0.0,n20 => n26,66
0.0,n20 => n26,67
0.0,n20 => n26,68
0.0,n20 => n26,69
0.0,n20 => n26,70
0.0,n20 => n26,71
0.0,n20 => n26,72
0.0,n20 => n26,73
0.0,n20 => n26,74
0.0,n20 => n26,75
0.0,n20 => n26,76
0.0,n20 => n26,77
0.0,n20 => n26,78
0.0,n20 => n26,79
0.0,n20 => n26,80
0.0,n20 => n26,81
0.0,n20 => n26,82
0.0,n20 => n26,83
0.0,n20 => n26,84
0.0,n20 => n26,85
0.0,n20 => n26,86
0.0,n20 => n26,87
0.0,n20 => n26,88
0.0,n20 => n26,89
0.0,n20 => n26,90
0.0,n20 => n26,91
0.0,n20 => n26,92
0.0,n20 => n26,93
0.0,n20 => n26,94
0.0,n20 => n26,95
0.0,n20 => n26,96
0.0,n13 => n12,0
0.0,n13 => n12,1
0.0,n13 => n12,2
0.0,n13 => n12,3
0.0,n13 => n12,4
0.0,n13 => n12,5
0.0,n13 => n12,6
0.0,n13 => n12,7
0.0,n13 => n12,8
0.0,n13 => n12,9
0.0,n13 => n12,10
0.0,n13 => n12,11
0.0,n13 => n12,12
0.0,n13 => n12,13
0.0,n13 => n12,14
0.0,n13 => n12,15
0.0,n13 => n12,16
0.0,n13 => n12,17
0.0,n13 => n12,18
0.0,n13 => n12,19
0.0,n13 => n12,20
0.0,n13 => n12,21
0.0,n13 => n12,22
0.0,n13 => n12,23
0.0,n13 => n12,24
0.0,n13 => n12,25
0.0,n13 => n12,26
0.0,n13 => n12,27
0.0,n13 => n12,28
0.0,n13 => n12,29
0.0,n13 => n12,30
0.0,n13 => n12,31
0.0,n13 => n12,32
0.0,n13 => n12,33
0.0,n13 => n12,34
0.0,n13 => n12,35
0.0,n13 => n12,36
0.0,n13 => n12,37
0.0,n13 => n12,38
0.0,n13 => n12,39
0.0,n13 => n12,40
0.0,n13 => n12,41
0.0,n13 => n12,42
0.0,n13 => n12,43
0.0,n13 => n12,44
0.0,n13 => n12,45
0.0,n13 => n12,46
0.0,n13 => n12,47
0.0,n13 => n12,48
0.0,n13 => n12,49
0.0,n13 => n12,50
0.0,n13 => n12,51
0.0,n13 => n12,52
0.0,n13 => n12,53
0.0,n13 => n12,54
0.0,n13 => n12,55
0.0,n13 => n12,56
0.0,n13 => n12,57
0.0,n13 => n12,58
0.0,n13 => n12,59
0.0,n13 => n12,60
0.0,n13 => n12,61
0.0,n13 => n12,62
